id,name,email,Exams,Tests,Projects,Home Work
51,Conrado Grgic,cgrgic1e@stumbleupon.com,70.4,68.41,61.98,66.02
52,Fletcher Joerning,fjoerning1f@toplist.cz,80.02,99.13,81.05,66.38
53,Merilyn Doutch,mdoutch1g@symantec.com,63.97,63.0,62.26,88.68
54,Calhoun Bulleyn,cbulleyn1h@youtu.be,68.49,88.46,78.96,76.03
55,Silvia Longthorn,slongthorn1i@addtoany.com,74.55,61.7,77.74,67.86
56,Emmott Coltherd,ecoltherd1j@amazon.co.uk,84.34,88.49,64.99,72.82
57,Adriena Ashingden,aashingden1k@google.cn,69.03,89.73,85.64,99.11
58,Lamont Evitts,levitts1l@wikimedia.org,72.22,87.92,86.13,98.98
59,Jimmie Franken,jfranken1m@upenn.edu,84.91,85.25,95.47,75.73
60,Elke Jonk,ejonk1n@europa.eu,82.06,71.37,90.54,61.26
61,Caroline Anstie,canstie1o@ca.gov,65.72,97.02,83.58,66.65
62,Melisande Kordova,mkordova1p@webnode.com,77.49,76.94,92.79,99.05
63,Kenton Paolazzi,kpaolazzi1q@macromedia.com,63.16,97.2,72.44,67.8
64,Enrica Kevern,ekevern1r@hao123.com,66.67,96.57,63.66,77.49
65,Julie MacNab,jmacnab1s@etsy.com,90.02,65.81,80.14,98.16
66,Ginni Philliphs,gphilliphs1t@hugedomains.com,73.43,65.25,96.58,61.99
67,Lazaro Hought,lhought1u@tuttocitta.it,92.14,98.79,85.57,85.83
68,Klarika Broadberry,kbroadberry1v@sphinn.com,60.69,68.47,84.4,85.91
69,Hans Simacek,hsimacek1w@altervista.org,88.24,86.48,83.19,94.78
70,Byran Lorroway,blorroway1x@adobe.com,75.53,60.89,66.39,62.18
71,Gert Derell,gderell1y@virginia.edu,99.53,62.55,82.29,87.37
72,Ariel Faiers,afaiers1z@yellowbook.com,76.88,78.92,63.4,93.07
73,Margery Pinkie,mpinkie20@independent.co.uk,66.52,67.9,62.52,81.71
74,Saudra Grocock,sgrocock21@last.fm,78.31,67.64,91.44,67.99
75,Rhea Donlon,rdonlon22@hao123.com,65.77,87.9,89.81,95.58
76,Ginnifer Cressingham,gcressingham23@friendfeed.com,63.44,65.64,78.48,85.58
77,Garwin Shilleto,gshilleto24@nih.gov,88.3,99.71,64.29,92.68
78,Lilia Eastbury,leastbury25@dailymail.co.uk,71.26,61.17,74.57,77.25
79,Crichton Chaudron,cchaudron26@uol.com.br,60.77,91.9,88.8,62.48
80,Ki Nouch,knouch27@ox.ac.uk,68.78,84.89,72.67,99.93
81,Maritsa Baldack,mbaldack28@ihg.com,72.88,79.62,70.87,93.61
82,Clo Ickovits,cickovits29@twitpic.com,82.3,84.92,78.67,69.3
83,Wildon Crilley,wcrilley2a@about.me,89.61,88.98,85.04,76.87
84,Herve Vitler,hvitler2b@ebay.com,95.65,73.81,69.17,89.05
85,Kesley Dalgliesh,kdalgliesh2c@csmonitor.com,80.07,75.31,85.04,93.47
86,Abram Giraux,agiraux2d@whitehouse.gov,66.32,76.41,65.92,88.71
87,Lombard Teek,lteek2e@google.com.br,65.16,70.27,61.38,73.54
88,Emmit Avann,eavann2f@vkontakte.ru,93.33,64.09,81.59,67.98
89,Danyelle Scholey,dscholey2g@kickstarter.com,75.33,60.5,67.25,72.36
90,Rhianon Caudwell,rcaudwell2h@privacy.gov.au,69.62,89.98,70.08,67.4
91,Cheryl Andri,candri2i@arizona.edu,60.13,87.02,62.53,86.01
92,Krystyna Staff,kstaff2j@huffingtonpost.com,65.46,80.2,93.71,87.57
93,Corbet Tuttle,ctuttle2k@bloglovin.com,92.13,85.07,61.93,81.88
94,Henriette Abry,habry2l@senate.gov,61.13,98.49,99.26,78.82
95,Rayna Kellaway,rkellaway2m@google.com.br,77.72,96.48,72.71,97.42
96,Roxanne Erley,rerley2n@imgur.com,78.56,80.58,88.96,89.88
97,Julia Swaysland,jswaysland2o@ox.ac.uk,60.18,91.01,77.44,72.56
98,Alissa Finlay,afinlay2p@parallels.com,81.43,68.98,71.34,86.39
99,Bert Goolding,bgoolding2q@opera.com,92.46,77.73,72.84,71.02
100,Rex Bevir,rbevir2r@elegantthemes.com,76.02,65.1,63.54,66.19
101,Henri Foch,hfoch2s@tiny.cc,63.69,80.97,89.18,66.87
102,Janela Lawtie,jlawtie2t@nih.gov,65.59,87.15,78.25,81.35
103,Reinhold Shearston,rshearston2u@hud.gov,92.3,86.17,73.73,83.68
104,Lizbeth Teasdale-Markie,lteasdalemarkie2v@paypal.com,67.8,72.43,86.41,90.51
105,Marje Willans,mwillans2w@goodreads.com,83.53,71.03,92.67,92.55
106,Freddie Rowena,frowena2x@topsy.com,65.53,82.18,99.66,79.58
107,Carri Paolini,cpaolini2y@dropbox.com,67.11,89.79,93.31,89.82
108,Lacee Brewis,lbrewis2z@paypal.com,70.3,69.9,83.9,71.47
109,Brody Folshom,bfolshom30@discovery.com,67.2,97.4,85.53,70.73
110,Mitchel Squibb,msquibb31@symantec.com,70.21,61.56,67.02,78.94
111,Winifred Gillam,wgillam32@gmpg.org,78.67,72.28,74.85,69.07
112,Chance Southern,csouthern33@nationalgeographic.com,97.64,62.61,61.58,84.79
113,Dacy Gorham,dgorham34@github.com,88.23,61.2,91.79,64.67
114,Silas Fish,sfish35@redcross.org,83.66,66.69,68.81,79.57
115,Franchot Copestake,fcopestake36@gmpg.org,81.86,95.21,94.48,74.78
116,Lulita Bulcock,lbulcock37@dropbox.com,83.45,81.93,76.17,81.11
117,Jill Syplus,jsyplus38@twitter.com,97.92,87.52,75.78,77.37
118,Haslett Sarsons,hsarsons39@japanpost.jp,67.06,90.61,98.63,62.53
119,Danita Harme,dharme3a@rambler.ru,67.3,95.18,78.75,70.25
120,Reeta Biddell,rbiddell3b@mtv.com,74.13,77.43,67.37,91.17
121,Cherish De Francesco,cde3c@psu.edu,61.75,89.98,83.14,74.4
122,Rhodie Toffanelli,rtoffanelli3d@chron.com,95.92,62.79,85.05,97.53
123,Sigismundo Nials,snials3e@artisteer.com,79.9,83.95,73.8,62.06
124,Felicdad Schohier,fschohier3f@cyberchimps.com,93.9,76.22,81.06,96.57
125,Yorgos Dmitrienko,ydmitrienko3g@sciencedaily.com,86.97,83.41,92.34,84.66
126,Harbert Reckus,hreckus3h@youtube.com,60.84,94.15,75.53,63.24
127,Padraic Holdron,pholdron3i@howstuffworks.com,75.88,85.16,89.49,74.58
128,Alexandre Potticary,apotticary3j@rediff.com,94.34,96.85,82.66,78.59
129,Wendye Ruttgers,wruttgers3k@china.com.cn,62.15,64.42,63.66,94.89
130,Reina Becket,rbecket3l@istockphoto.com,85.75,72.37,90.26,73.28
131,Wallache MacAlaster,wmacalaster3m@technorati.com,67.4,88.9,78.17,93.58
132,Joellyn Duthie,jduthie3n@virginia.edu,86.64,87.89,69.97,84.46
133,Catarina Browning,cbrowning3o@4shared.com,86.71,71.15,84.73,63.4
134,Thekla McKmurrie,tmckmurrie3p@cdc.gov,70.89,76.68,72.73,70.12
135,Jarid Le Cornu,jle3q@360.cn,66.85,75.13,65.29,78.66
136,Francene Mottley,fmottley3r@indiatimes.com,63.61,64.33,82.94,63.2
137,Luigi Ander,lander3s@umich.edu,82.61,74.2,60.22,94.26
138,Sydelle Inchboard,sinchboard3t@dot.gov,91.85,72.45,85.96,69.34
139,Stillmann Jilkes,sjilkes3u@qq.com,60.71,70.51,83.38,67.29
140,Arleyne Blenkhorn,ablenkhorn3v@dot.gov,76.74,76.4,71.42,99.34
141,Jacqueline Roden,jroden3w@seesaa.net,96.59,77.99,99.54,65.38
142,Almeda Astlatt,aastlatt3x@shop-pro.jp,82.84,90.99,68.4,90.84
143,Guillaume Slate,gslate3y@jugem.jp,86.76,94.5,98.12,84.15
144,Ollie Border,oborder3z@naver.com,76.03,93.55,88.99,63.52
145,Marcia Calley,mcalley40@seattletimes.com,65.44,93.92,66.89,76.8
146,Dena Buy,dbuy41@flavors.me,86.62,94.68,98.48,66.11
147,Martino Wharin,mwharin42@alexa.com,99.67,79.18,71.74,86.65
148,Merell Clements,mclements43@163.com,83.29,77.31,82.84,70.59
149,Sheridan Halgarth,shalgarth44@goo.gl,81.65,93.27,74.33,74.94
150,Ginger A'field,gafield45@vimeo.com,65.18,74.69,67.71,62.83
151,Ingrim Ducroe,iducroe46@foxnews.com,86.1,69.75,85.3,98.34
152,Ado Linnit,alinnit47@webmd.com,91.94,79.54,93.67,68.39
153,Bernardo Hawkyens,bhawkyens48@sphinn.com,66.27,97.52,79.72,72.03
154,Francine Hummerston,fhummerston49@census.gov,78.62,71.46,77.69,99.48
155,Nady Bestall,nbestall4a@hostgator.com,73.35,65.89,66.61,84.08
156,Humfried Benardet,hbenardet4b@parallels.com,79.37,88.47,97.14,66.08
157,Sofia Lawling,slawling4c@over-blog.com,72.12,61.23,88.09,90.34
158,Matilde Burden,mburden4d@creativecommons.org,95.49,77.4,97.51,92.79
159,De Roskams,droskams4e@ameblo.jp,75.29,92.96,86.47,75.32
160,Shermie Venditto,svenditto4f@adobe.com,66.77,95.22,61.07,82.6
161,Ernestus Clipsham,eclipsham4g@histats.com,63.58,77.49,90.61,98.02
162,Berny Marchello,bmarchello4h@loc.gov,91.97,90.08,78.43,81.91
163,Nariko Manion,nmanion4i@cdbaby.com,83.71,69.26,60.72,74.62
164,Annnora Szymoni,aszymoni4j@msu.edu,77.5,89.34,82.85,81.95
165,Barry Simla,bsimla4k@dyndns.org,97.14,90.83,83.32,93.94
166,Sonia Caen,scaen4l@msn.com,70.34,76.02,71.69,86.36
167,Augusto Adney,aadney4m@is.gd,94.09,84.43,73.0,77.33
168,Abrahan Saice,asaice4n@salon.com,92.33,74.2,79.11,99.7
169,Cornie Arend,carend4o@home.pl,87.14,65.09,97.86,75.71
170,Vyky Haxley,vhaxley4p@admin.ch,98.37,87.51,74.74,66.4
171,Lizette Coulsen,lcoulsen4q@google.fr,79.06,98.49,88.91,90.06
172,Syd Cocklie,scocklie4r@ebay.co.uk,84.76,96.94,89.22,83.36
173,Clem Nester,cnester4s@altervista.org,74.87,89.38,77.02,65.65
174,Daphne Ximenez,dximenez4t@chicagotribune.com,97.66,61.57,61.43,93.64
175,Gil Baus,gbaus4u@dmoz.org,76.94,64.4,71.68,69.82
176,Kale Ruprecht,kruprecht4v@sourceforge.net,69.79,88.12,92.77,69.32
177,Granger Pes,gpes4w@tmall.com,82.51,65.84,85.35,93.85
178,Page Budge,pbudge4x@i2i.jp,83.74,93.76,91.7,68.56
179,Alvira Crossfield,acrossfield4y@yale.edu,73.08,96.27,96.24,63.9
180,Shena Mourant,smourant4z@gmpg.org,62.3,89.6,77.98,87.95
181,Olin Nottingam,onottingam50@dagondesign.com,81.54,63.31,61.14,87.37
182,Merrili Lambell,mlambell51@amazon.de,72.7,72.35,93.88,72.84
183,Briant Dagleas,bdagleas52@dion.ne.jp,71.77,63.17,76.0,73.59
184,Elysia Spinello,espinello53@archive.org,67.82,82.46,77.77,60.41
185,Jerome Brothwell,jbrothwell54@macromedia.com,76.62,99.73,68.22,82.49
186,Dehlia Lankham,dlankham55@chron.com,99.94,66.15,64.87,70.03
187,Kelci Sykora,ksykora56@wired.com,73.72,88.25,66.74,85.07
188,Lena Duprey,lduprey57@comcast.net,74.34,94.94,68.32,76.61
189,Aristotle Petel,apetel58@hubpages.com,74.74,94.6,96.8,96.35
190,Breena Masden,bmasden59@dedecms.com,69.81,86.39,77.82,80.28
191,Patrizia Heintz,pheintz5a@cpanel.net,86.15,63.03,60.3,89.89
192,Ketti Stocking,kstocking5b@t.co,81.8,87.06,90.38,79.84
193,Russ Spratley,rspratley5c@eepurl.com,62.59,71.09,64.74,77.54
194,Ebenezer Bulpitt,ebulpitt5d@deliciousdays.com,84.75,95.66,83.46,77.36
195,Jemmy Siggens,jsiggens5e@merriam-webster.com,96.38,83.34,81.71,91.15
196,Darby Tofanini,dtofanini5f@hud.gov,68.77,93.2,84.57,64.22
197,Linzy Frick,lfrick5g@statcounter.com,87.27,85.12,89.26,76.73
198,James Brimfield,jbrimfield5h@lulu.com,90.7,69.97,82.92,79.29
199,Immanuel Biesty,ibiesty5i@bigcartel.com,88.39,81.64,72.3,99.06
200,Joella Stivani,jstivani5j@hibu.com,70.12,61.74,77.73,60.77
201,Chauncey O'Loinn,coloinn5k@networksolutions.com,83.31,91.79,91.61,77.87
202,Falkner MacKill,fmackill5l@google.it,95.12,67.7,74.36,98.87
203,Hadley Wyles,hwyles5m@com.com,93.85,83.87,80.55,78.59
204,Alysia Drummer,adrummer5n@ucoz.com,93.24,88.74,98.2,88.34
205,Orrin Lepope,olepope5o@ft.com,82.96,88.38,74.79,66.2
206,Franklyn Shooter,fshooter5p@un.org,84.81,98.7,87.0,84.68
207,Fianna Chance,fchance5q@theguardian.com,96.02,96.06,91.84,77.2
208,Tiphany Thorley,tthorley5r@theguardian.com,94.21,78.97,97.38,60.1
209,Alvina Fasset,afasset5s@sbwire.com,93.06,77.38,82.72,72.76
210,Payton O' Cuolahan,po5t@umn.edu,82.42,89.19,79.93,91.27
211,Upton Bernard,ubernard5u@stumbleupon.com,70.36,93.27,70.12,63.54
212,Sharl MacCome,smaccome5v@businessweek.com,71.95,76.48,95.32,85.93
213,Bjorn Targetter,btargetter5w@dailymotion.com,79.92,83.81,80.73,78.58
214,Isa Arlidge,iarlidge5x@webeden.co.uk,69.26,64.65,83.72,65.46
215,Antons Trayhorn,atrayhorn5y@buzzfeed.com,62.92,89.04,73.05,88.95
216,Hermie Panas,hpanas5z@miibeian.gov.cn,64.49,92.21,80.39,64.29
217,Mozelle Raffan,mraffan60@bloglovin.com,63.4,69.82,60.63,73.87
218,Donaugh Pickaver,dpickaver61@netscape.com,96.36,72.94,93.4,84.84
219,Kalinda De Freyne,kde62@reddit.com,63.81,89.97,68.74,89.48
220,Emilee Jurczak,ejurczak63@ameblo.jp,97.88,73.35,91.97,88.69
221,Harriet Snozzwell,hsnozzwell64@freewebs.com,80.81,62.54,92.35,69.05
222,Edythe Tipling,etipling65@oakley.com,91.96,62.93,90.7,80.26
223,Dedie Maunton,dmaunton66@usa.gov,69.95,93.12,70.22,84.63
224,Rufus Adamkiewicz,radamkiewicz67@google.pl,83.22,72.96,78.58,64.68
225,Patrizius Hallgalley,phallgalley68@usa.gov,93.98,98.87,66.36,73.03
226,Kippie Simondson,ksimondson69@mlb.com,78.77,70.87,61.17,62.77
227,Maxie Levitt,mlevitt6a@google.ca,86.14,73.57,81.09,70.85
228,Grannie Brosius,gbrosius6b@privacy.gov.au,86.59,66.59,88.3,62.91
229,Vallie Papez,vpapez6c@spiegel.de,60.32,72.92,61.25,69.26
230,Nerissa Worthing,nworthing6d@wordpress.org,61.15,71.3,66.72,70.97
231,Barbabra Boucher,bboucher6e@nih.gov,94.25,84.23,74.12,62.95
232,Colas Battill,cbattill6f@blogspot.com,82.73,61.96,63.72,64.63
233,Kizzie Gerwood,kgerwood6g@sakura.ne.jp,96.19,83.54,96.44,78.82
234,Rois Vale,rvale6h@blog.com,71.72,88.39,66.76,75.86
235,Herman Glasscott,hglasscott6i@chicagotribune.com,68.13,83.63,97.08,80.75
236,Tommy Saile,tsaile6j@merriam-webster.com,69.82,73.1,66.05,62.69
237,Dorthy Snar,dsnar6k@csmonitor.com,91.24,82.15,72.8,75.23
238,Ingram Jacson,ijacson6l@last.fm,68.69,97.1,82.38,72.0
239,Darline Antonik,dantonik6m@jalbum.net,87.54,87.7,80.81,92.95
240,Reena Coggen,rcoggen6n@biblegateway.com,63.93,82.35,89.02,91.09
241,Franny Coules,fcoules6o@vinaora.com,79.4,88.91,83.56,60.05
242,Edgard Allmark,eallmark6p@time.com,72.79,83.36,75.65,92.68
243,Abner Rumke,arumke6q@unblog.fr,82.7,95.01,86.15,82.52
244,Ermengarde Maypole,emaypole6r@ucsd.edu,97.18,98.57,73.7,75.1
245,Chauncey Parysiak,cparysiak6s@businesswire.com,98.88,78.4,86.68,98.2
246,Star Jonson,sjonson6t@wired.com,98.2,76.06,63.0,88.61
247,Lise Blamey,lblamey6u@yahoo.co.jp,90.81,64.18,79.95,95.05
248,Silvanus Rehor,srehor6v@behance.net,96.17,78.05,84.63,98.55
249,Karlen Pook,kpook6w@constantcontact.com,79.63,61.14,76.79,61.88
250,Fan Draycott,fdraycott6x@apache.org,88.5,67.62,80.25,69.19
